Name,Date,Star_Rating,Short_Review,Long_Review
-,-,-,-,-
"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable,",18 April 2025,4.2 out of 5 stars,best ever in mouse,"The Portronics Toad One Bluetooth Mouse is an impressive and versatile device that offers both 2.4 GHz and Bluetooth 5.3 dual wireless connectivity, allowing you to easily switch between different devices such as your laptop, smartphone, or tablet. The mouse features 6 buttons, including extra buttons for additional functionality, providing a more efficient user experience, especially for productivity tasks.One of its standout features is the rechargeable battery, which eliminates the need for disposable batteries and ensures long-lasting use. The RGB lights add a stylish touch, giving it a modern and customizable look, making it perfect for users who appreciate both functionality and aesthetics.Its ergonomic design ensures a comfortable grip, reducing strain during long hours of usage. The mouse can connect up to 3 devices simultaneously, which is a great convenience for people who use multiple devices throughout the day. Overall, the Portronics Toad One is a highly functional, stylish, and eco-friendly choice for anyone looking for a reliable and feature-rich Bluetooth mouse."
Amazon Customer,27 January 2025,,Great Device According to Price Range VFM,"Portronics Toad 1 Wireless Rechargeable MouseThe Portronics Toad 1 Wireless Rechargeable Mouse is an excellent choice for those looking for a stylish and feature-rich mouse at an affordable price. Here's a breakdown of its pros and cons:Pros:1. Great Design: The sleek and modern design adds a premium touch to your workspace, making it visually appealing.2. RGB Lighting: The customizable RGB lighting enhances its aesthetic appeal and gives it a gamer-friendly vibe.3. Great Connectivity: The mouse ensures seamless and lag-free performance, thanks to its reliable connectivity.4. Comfortable Feel: Its ergonomic design provides an excellent in-hand feel, making it ideal for extended usage without causing discomfort.5. 3-Way Connection: With support for a 2.4GHz receiver and two Bluetooth connections, this mouse can easily switch between devices, making it highly versatile and convenient.Cons:1. Battery Life: While the rechargeable battery is convenient, it lasts only 2 to 3 weeks with RGB lighting turned on. With the RGB off, the battery life improves but still caps at 4 to 5 weeks.Verdict:The Portronics Toad 1 is a fantastic wireless mouse for its price, offering style, comfort, and advanced connectivity options. However, frequent charging might be a slight drawback for some users. If you can manage the battery aspect, this is a solid pick!"
Amazon Customer,6 April 2025,,Best mouse under 1000 rupees,"Best mouse I have used under 1000 rupees. U can change dpi and it's perfect fit for your hand. Doesn't hurt your wrist. Connects instantly through dongle, no lag"
Shekhar Singh,28 April 2025,,Value for money,"This mouse is very good....very good battery life,and RGB light"
Jaynil Soni,17 April 2025,,It's working on bluetooth and using multiple devices,"Very nice product, smoothly work, and look wise so awasome, thank you amazon,this mouse I have used last 20 days and this was very nice experience so any one buy this product go and purchase with out any doubt...👍👍👍👍👍👍👍👍👍"
Jaynil Soni,8 April 2025,4.2 out of 5 stars,"Good Mouse, a little bulky. Battery is average and no indicator.","I would have rated this 5/5, because of it's looks and price. However, 1 deducted for two reasons.First, the pros:1. The lights are absolutely beautiful. They keep changing and merging, lighting up the mouse and the logo.2. Color is good.3. Built is very strong.4. Connection us fast.5. Extremely sensitive to touch, still precise.The cons:1. Battery backup is not good, compared to other mouse at the same price range,2. There is no battery level indicator, which many others provide at the same price.3. Size a bit bulky. I would not recommend this to people with small hands.Overall, seems to be good at this price range.Tip: Go for the black color, it is definitely better than white and looks more elegant."
Anish,12 April 2025,,Bang for buck value nothing fancy just practical,"It's ideal for the budget, i was worried if it would be too small for my big hands. But it's not too small. RGB lights gave up after 2 months but it works really well which was my priority.so overall a good but."
Tridib Bhuniya,28 April 2025,,A good mouse WITH A FLAW,"Ok so ive been using this mouse for nearly a month and so far its comfortable to hold buttons are ok for the price ,i bought it for around Rs550 , and RGB is mid at best , it is smooth with a mouse pad and set at highest DPI . BUT THE MAJOR ISSUE is the Battery life,  ABSOLUTELY HORRID with rgb i got it to around 1.5 days max and wthout it its around 3 dys IF YOUR LUCKY more commonly 2 days , also i am running it with the provided dongle , SO its a PRETTY GOOD MOUSE WITH A MAJOR CON , if you can live with charging it often then its alright"
vijayjhare,,4.2 out of 5 stars,,
vijayjhare,,4.3 out of 5 stars,,
Souvik Chatterjee,,4.2 out of 5 stars,,
Pulkit patel,,4.3 out of 5 stars,,
saransreedha,,4.2 out of 5 stars,,
,,4.2 out of 5 stars,,
,,4.2 out of 5 stars,,
,,4.4 out of 5 stars,,
,,4.1 out of 5 stars,,
,,4.6 out of 5 stars,,
,,4.2 out of 5 stars,,
,,4.0 out of 5 stars,,
,,4.2 out of 5 stars,,
,,5.0 out of 5 stars,,
,,4 out of 5 stars,,
,,5.0 out of 5 stars,,
,,4.0 out of 5 stars,,
,,4.0 out of 5 stars,,
,,5.0 out of 5 stars,,
,,5.0 out of 5 stars,,
,,5.0 out of 5 stars,,
,,5.0 out of 5 stars,,
,,4.0 out of 5 stars,,
,,5.0 out of 5 stars,,
,,3.0 out of 5 stars,,
